Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODI No
1,9,9,0,0,11.11,2,bowled,1,v West Indies,Delhi,11 Oct 2014,ODI # 3533
35,51,35,6,1,100.00,2,caught,1,v West Indies,Dharamsala,17 Oct 2014,ODI # 3535
113,159,107,14,3,105.60,2,bowled,1,v Sri Lanka,Cuttack,2 Nov 2014,ODI # 3539
79,-,80,7,1,98.75,2,caught,2,v Sri Lanka,Ahmedabad,6 Nov 2014,ODI # 3540
91,-,79,8,1,115.18,2,caught,2,v Sri Lanka,Hyderabad (Deccan),9 Nov 2014,ODI # 3543
2,3,4,0,0,50.00,2,caught,1,v Australia,Melbourne,18 Jan 2015,ODI # 3582
1,9,5,0,0,20.00,2,caught,1,v England,Brisbane,20 Jan 2015,ODI # 3586
8,24,13,0,0,61.53,2,caught,1,v Australia,Sydney,26 Jan 2015,ODI # 3592
38,85,65,4,0,58.46,2,caught,1,v England,Perth,30 Jan 2015,ODI # 3595
73,136,76,7,1,96.05,2,run out,1,v Pakistan,Adelaide,15 Feb 2015,ODI # 3602
137,199,146,16,2,93.83,2,caught,1,v South Africa,Melbourne,22 Feb 2015,ODI # 3610
14,27,17,3,0,82.35,2,caught,2,v U.A.E.,Perth,28 Feb 2015,ODI # 3618
9,17,14,1,0,64.28,2,caught,2,v West Indies,Perth,6 Mar 2015,ODI # 3625
100,119,85,11,5,117.64,2,caught,2,v Ireland,Hamilton,10 Mar 2015,ODI # 3631
4,27,20,1,0,20.00,2,bowled,2,v Zimbabwe,Auckland,14 Mar 2015,ODI # 3636
30,74,50,3,0,60.00,2,stumped,1,v Bangladesh,Melbourne,19 Mar 2015,ODI # 3641
45,57,41,6,1,109.75,2,caught,2,v Australia,Sydney,26 Mar 2015,ODI # 3645
30,74,38,3,0,78.94,2,caught,2,v Bangladesh,Dhaka,18 Jun 2015,ODI # 3658
53,88,60,7,0,88.33,2,caught,1,v Bangladesh,Dhaka,21 Jun 2015,ODI # 3660
75,118,73,10,0,102.73,2,caught,1,v Bangladesh,Dhaka,24 Jun 2015,ODI # 3661
23,33,28,5,0,82.14,2,lbw,2,v South Africa,Kanpur,11 Oct 2015,ODI # 3689
23,57,34,4,0,67.64,2,caught,1,v South Africa,Indore,14 Oct 2015,ODI # 3692
13,45,29,2,0,44.82,2,caught,2,v South Africa,Rajkot,18 Oct 2015,ODI # 3695
7,36,15,0,0,46.66,2,caught,1,v South Africa,Chennai,22 Oct 2015,ODI # 3698
60,100,59,8,0,101.69,2,caught,2,v South Africa,Mumbai,25 Oct 2015,ODI # 3700
9,27,22,1,0,40.90,2,caught,1,v Australia,Perth,12 Jan 2016,ODI # 3723
6,10,4,1,0,150.00,2,caught,1,v Australia,Brisbane,15 Jan 2016,ODI # 3724
68,108,91,9,0,74.72,2,bowled,1,v Australia,Melbourne,17 Jan 2016,ODI # 3725
126,154,113,14,2,111.50,2,caught,2,v Australia,Canberra,20 Jan 2016,ODI # 3726
78,69,56,7,3,139.28,2,caught,2,v Australia,Sydney,23 Jan 2016,ODI # 3727
1,18,10,0,0,10.00,2,caught,2,v England,Pune,15 Jan 2017,ODI # 3819
11,24,15,2,0,73.33,2,bowled,1,v England,Cuttack,19 Jan 2017,ODI # 3821
68,95,65,6,1,104.61,2,caught,1,v Pakistan,Birmingham,4 Jun 2017,ODI # 3878
125,198,128,15,1,97.65,2,caught,1,v Sri Lanka,The Oval,8 Jun 2017,ODI # 3882
78,130,83,12,1,93.97,2,caught,2,v South Africa,The Oval,11 Jun 2017,ODI # 3886
46,67,34,7,1,135.29,2,caught,2,v Bangladesh,Birmingham,15 Jun 2017,ODI # 3891
21,42,22,4,0,95.45,2,caught,2,v Pakistan,The Oval,18 Jun 2017,ODI # 3894
87,-,92,8,2,94.56,2,lbw,1,v West Indies,Port of Spain,23 Jun 2017,ODI # 3895
63,-,59,10,0,106.77,2,stumped,1,v West Indies,Port of Spain,25 Jun 2017,ODI # 3896
2,-,6,0,0,33.33,2,caught,1,v West Indies,North Sound,30 Jun 2017,ODI # 3898
5,-,7,0,0,71.42,2,caught,2,v West Indies,North Sound,2 Jul 2017,ODI # 3900
4,-,3,1,0,133.33,2,caught,2,v West Indies,Kingston,6 Jul 2017,ODI # 3902
132*,-,90,20,3,146.66,2,not out,2,v Sri Lanka,Dambulla,20 Aug 2017,ODI # 3905
49,-,50,6,1,98.00,2,caught,2,v Sri Lanka,Pallekele,24 Aug 2017,ODI # 3906
5,-,3,1,0,166.66,2,bowled,2,v Sri Lanka,Pallekele,27 Aug 2017,ODI # 3907
4,-,6,1,0,66.66,2,caught,1,v Sri Lanka,Colombo (RPS),31 Aug 2017,ODI # 3908
9,15,12,1,0,75.00,2,caught,1,v New Zealand,Mumbai,22 Oct 2017,ODI # 3928
68,125,84,5,2,80.95,2,caught,2,v New Zealand,Pune,25 Oct 2017,ODI # 3931
14,29,20,3,0,70.00,2,caught,1,v New Zealand,Kanpur,29 Oct 2017,ODI # 3932
0,8,6,0,0,0.00,2,lbw,1,v Sri Lanka,Dharamsala,10 Dec 2017,ODI # 3939
68,87,67,9,0,101.49,2,caught,1,v Sri Lanka,Mohali,13 Dec 2017,ODI # 3941
100*,140,85,13,2,117.64,2,not out,2,v Sri Lanka,Visakhapatnam,17 Dec 2017,ODI # 3942
35,53,29,6,0,120.68,2,run out,2,v South Africa,Durban,1 Feb 2018,ODI # 3969
51*,84,56,9,0,91.07,2,not out,2,v South Africa,Centurion,4 Feb 2018,ODI # 3970
76,105,63,12,0,120.63,2,caught,1,v South Africa,Cape Town,7 Feb 2018,ODI # 3971
109,163,105,10,2,103.80,2,caught,1,v South Africa,Johannesburg,10 Feb 2018,ODI # 3973
34,30,23,8,0,147.82,1,caught,1,v South Africa,Port Elizabeth,13 Feb 2018,ODI # 3976
18,56,34,2,0,52.94,1,caught,2,v South Africa,Centurion,16 Feb 2018,ODI # 3978
40,-,27,8,0,148.14,2,caught,2,v England,Nottingham,12 Jul 2018,ODI # 4014
36,-,30,6,0,120.00,2,caught,2,v England,Lord's,14 Jul 2018,ODI # 4016
44,75,49,7,0,89.79,2,run out,1,v England,Leeds,17 Jul 2018,ODI # 4018
127,-,120,15,2,105.83,2,caught,1,v Hong Kong,Dubai (DSC),18 Sep 2018,ODI # 4039
46,-,54,6,1,85.18,2,caught,2,v Pakistan,Dubai (DSC),19 Sep 2018,ODI # 4040
40,-,47,4,1,85.10,2,lbw,2,v Bangladesh,Dubai (DSC),21 Sep 2018,ODI # 4042
114,-,100,16,2,114.00,2,run out,2,v Pakistan,Dubai (DSC),23 Sep 2018,ODI # 4044
15,-,14,3,0,107.14,2,caught,2,v Bangladesh,Dubai (DSC),28 Sep 2018,ODI # 4048
4,-,6,1,0,66.66,2,bowled,2,v West Indies,Guwahati,21 Oct 2018,ODI # 4056
29,40,30,4,1,96.66,2,lbw,1,v West Indies,Visakhapatnam,24 Oct 2018,ODI # 4059
35,-,45,5,0,77.77,2,lbw,2,v West Indies,Pune,27 Oct 2018,ODI # 4062
38,-,40,4,2,95.00,2,caught,1,v West Indies,Mumbai (BS),29 Oct 2018,ODI # 4063
6,7,5,1,0,120.00,2,bowled,2,v West Indies,Thiruvananthapuram,1 Nov 2018,ODI # 4064
0,4,1,0,0,0.00,2,lbw,2,v Australia,Sydney,12 Jan 2019,ODI # 4077
32,31,28,5,0,114.28,2,caught,2,v Australia,Adelaide,15 Jan 2019,ODI # 4078
23,-,46,0,0,50.00,2,caught,2,v Australia,Melbourne,18 Jan 2019,ODI # 4079
75*,142,103,6,0,72.81,2,not out,2,v New Zealand,Napier,23 Jan 2019,ODI # 4082
66,99,67,9,0,98.50,2,caught,1,v New Zealand,Mount Maunganui,26 Jan 2019,ODI # 4085
28,32,27,6,0,103.70,2,caught,2,v New Zealand,Mount Maunganui,28 Jan 2019,ODI # 4088
13,23,20,1,1,65.00,2,lbw,1,v New Zealand,Hamilton,31 Jan 2019,ODI # 4091
6,24,13,1,0,46.15,2,caught,1,v New Zealand,Wellington,3 Feb 2019,ODI # 4092
0,-,1,0,0,0.00,2,caught,2,v Australia,Hyderabad (Deccan),2 Mar 2019,ODI # 4102
21,-,29,4,0,72.41,2,lbw,1,v Australia,Nagpur,5 Mar 2019,ODI # 4106
1,-,10,0,0,10.00,1,caught,2,v Australia,Ranchi,8 Mar 2019,ODI # 4109
143,-,115,18,3,124.34,2,bowled,1,v Australia,Mohali,10 Mar 2019,ODI # 4111
12,-,15,2,0,80.00,2,caught,2,v Australia,Delhi,13 Mar 2019,ODI # 4113
8,23,12,1,0,66.66,1,caught,2,v South Africa,Southampton,5 Jun 2019,ODI # 4150
117,163,109,16,0,107.33,2,caught,1,v Australia,The Oval,9 Jun 2019,ODI # 4155
TDNB,-,-,-,-,-,-,-,-,v West Indies,Providence,8 Aug 2019,ODI # 4196
2,4,3,0,0,66.66,1,lbw,1,v West Indies,Port of Spain,11 Aug 2019,ODI # 4197
36,53,36,5,0,100.00,2,caught,2,v West Indies,Port of Spain,14 Aug 2019,ODI # 4199
